"Monthly-mean 3-d atmosphere data (longitude, latitude, model levels, time:month) ",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
air_pressure,Air Pressure,pmlev,Pa,NA,time: mean,NA,0.0,1000000.0,The atmospheric pressure at the model layer midpoints for all times and levels in the associated output variables
CF25_FAIL air_pressure_at_model_level_interface,Air Pressure at Interfaces,pilev,Pa,NA,time: mean,NA,0.0,1000000.0,The atmospheric pressure at the model layer interfaces for all times and levels in the associated output variables
air_temperature,Air Temperature,ta,K,NA,time: mean,NA,0.0,1000.0,
geopotential_height,Geopotential Height,zg,m,NA,time: mean,NA,0.0,500000.0,
eastward_wind,Eastward Wind,ua,m s-1,NA,time: mean,NA,-1000.0,1000.0,
northward_wind,Northward Wind,va,m s-1,NA,time: mean,NA,-1000.0,1000.0,
upward_air_velocity,Upward Air Velocity,wa,m s-1,NA,time: mean,NA,-1000.0,1000.0,
tendency_of_air_temperature_due_to_shortwave_heating,Shortwave Heating Rate,tntsw,K s-1,NA,time: mean,NA,-100.0,100.0,shortwave heating rates
tendency_of_air_temperature_due_to_longwave_heating,Longwave Heating Rate,tntlw,K s-1,NA,time: mean,NA,-100.0,100.0,longwave heating rates
mole_fraction_of_ozone_in_air,Ozone Volume Mixing Ratio,vmro3,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_water_vapor_in_air,Water Vapour Volume Mixing Ratio,vmrh2o,mole mole-1,NA,time: mean,NA,0.0,1.0,
age_of_stratospheric_air,Mean Age of Stratospheric Air,mnstrage,year,NA,time: mean,NA,0.0,50.0,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.
mole_fraction_of_nitrous_oxide_in_air,N2O Volume Mixing Ratio,vmrn2o,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_methane_in_air,CH4 Volume Mixing Ratio,vmrch4,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_carbon_dioxide_in_air,CO2 Volume Mixing Ratio,vmrco2,mole mole-1,NA,time: mean,NA,0.0,1.0,
