"Monthly-mean zonal mean 2-d atmosphere or land surface data (latitude, pressure, time:month) Provide output interpolated to fixed pressure levels at:",,,,,,,,,
1000 850 700 500 400 300 250 200 170 150 130 115 100 90 80 70 50 30 20 15 10 7 5 3 2 1.5 1 0.5 0.3 0.2 0.1,,,,,,,,,"(interpolate first each column to fixed pressure levels, then calculate zonal mean; take into account missing values)"
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
air_temperature,Zonal Mean Air Temperature,zmta,K,NA,time: mean longitude: mean,NA,0.0,500.0,
eastward_wind,Zonal Mean Eastward Wind,zmua,m s-1,NA,time: mean longitude: mean,NA,-500.0,500.0,
northward_wind,Zonal Mean Northward Wind,zmva,m s-1,NA,time: mean longitude: mean,NA,-500.0,500.0,
geopotential_height,Zonal Mean Geopotential Height,zmzg,m,NA,time: mean longitude: mean,NA,-1000.0,500000.0,
mole_fraction_of_ozone_in_air,Zonal Mean Ozone Volume Mixing Ratio,zmo3,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_nitrous_oxide_in_air,Zonal Mean N2O Volume Mixing Ratio,zmn2o,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_methane_in_air,Zonal Mean CH4 Volume Mixing Ratio,zmch4,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_water_vapor_in_air,Zonal Mean H2O Volume Mixing Ratio,zmh2o,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
age_of_stratospheric_air,Zonal Mean Mean Age of Stratospheric Air,zmmnstrage,years,NA,time: mean longitude: mean,NA,0.0,20.0,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.
mole_fraction_of_methyl_chloride_in_air,Zonal Mean CH3Cl Volume Mixing Ratio,zmch3cl,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hcc140a_in_air,Zonal Mean CH3CCl3 Volume Mixing Ratio,zmch3ccl3,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_carbon_tetrachloride_in_air,Zonal Mean CCl4 Volume Mixing Ratio,zmccl4,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_cfc11_in_air,Zonal Mean CFCl3 Volume Mixing Ratio,zmcfcl3,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_cfc12_in_air,Zonal Mean CF2Cl2 Volume Mixing Ratio,zmcf2cl2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hcfc22_in_air,Zonal Mean CHClF2 Volume Mixing Ratio,zmchclf2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hcfc141b_in_air,Zonal Mean CH3CCl2F Volume Mixing Ratio,zmch3ccl2f,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hcfc142b_in_air,Zonal Mean CH3CClF2 Volume Mixing Ratio,zmch3cclf2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_halon1211_in_air,Zonal mean CBrClF2 Volume Mixing Ratio,zmcbrclf2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_halon1301_in_air,Zonal Mean CBrF3 Volume Mixing Ratio,zmcbrf3,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_halon2402_in_air,Zonal Mean CBrF2CBrF2 Volume Mixing Ratio,zmc2br2f4,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_methyl_bromide_in_air,Zonal Mean CH3Br Volume Mixing Ratio,zmch3br,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
